AGTL	Al-Ghazi Tractors Limited.
HUMNL-APR	Hum Network Limited.
HUMNL-JUN	Hum Network Limited.
HUMNL-MAR	Hum Network Limited.
HUMNL-MARB	Hum Network Limited.
HUMNL-MAY	Hum Network Limited.
HUMNL-OCT	Hum Network Limited.
ILP-OCT	Interloop Limited.
ILP-OCTB	Interloop Limited.
IMAGE-APR	Image Pakistan Limited.
IMAGE-MAR	Image Pakistan Limited.
INIL-APR	International Industries Ltd.
INIL-APRB	International Industries Ltd.
INIL-JUN	International Industries Ltd.
INIL-MAR	International Industries Ltd.
INIL-MARB	International Industries Ltd.
INIL-MAY	International Industries Ltd.
INIL-OCT	International Industries Ltd.
INIL-OCTB	International Industries Ltd.
ISL-APR	International Steels Limited.
ISL-APRB	International Steels Limited.
ISL-JUN	International Steels Limited.
ISL-MAR	International Steels Limited.
ISL-MARB	International Steels Limited.
ISL-MAY	International Steels Limited.
ISL-OCT	International Steels Limited.
ISL-OCTB	International Steels Limited.
JSBL-APR	JS Bank Limited.
JSBL-MAR	JS Bank Limited.
JSBL-OCT	JS Bank Limited.
JSCFO	JS Cash Fund
JVDC-APR	Javedan Corporation Ltd.
JVDC-MAR	Javedan Corporation Ltd.
KAPCO-APR	Kot Addu Power Company.
KAPCO-JUN	Kot Addu Power Company.
KAPCO-MAR	Kot Addu Power Company.
KAPCO-MARB	Kot Addu Power Company.
KAPCO-MAY	Kot Addu Power Company.
KAPCO-OCT	Kot Addu Power Company.
KAPCO-OCTB	Kot Addu Power Company.
KASBCFO	KASB Cash Fund
KEL-APR	K-Electric Limited.
KEL-JUN	K-Electric Limited.
KEL-MAR	K-Electric Limited.
KEL-MAY	K-Electric Limited.
KEL-OCT	K-Electric Limited.
KOHC-APR	Kohat Cement Co. Ltd.
KOHC-JUN	Kohat Cement Co. Ltd.
KOHC-MAR	Kohat Cement Co. Ltd.
KOHC-MAY	Kohat Cement Co. Ltd.
KOSM-APR	Kohinoor Spinning Mills Ltd.
KOSM-JUN	Kohinoor Spinning Mills Ltd.
KOSM-MAR	Kohinoor Spinning Mills Ltd.
KOSM-MAY	Kohinoor Spinning Mills Ltd.
LOADS-APR	Loads Limited.
LOADS-JUN	Loads Limited.
LOADS-MAR	Loads Limited.
LOADS-MAY	Loads Limited.
LOTCHEM-APR	Lotte Chemical Pakistan Ltd.
LOTCHEM-JUN	Lotte Chemical Pakistan Ltd.
LOTCHEM-MAR	Lotte Chemical Pakistan Ltd.
LOTCHEM-MAY	Lotte Chemical Pakistan Ltd.
LOTCHEM-OCT	Lotte Chemical Pakistan Ltd.
LOTCHEM-OCTB	Lotte Chemical Pakistan Ltd.
LPL-OCT	LALPIR Power Limited.
LPL-OCTB	LALPIR Power Limited.
LUCK-APR	Lucky Cement Limited.
LUCK-JUN	Lucky Cement Limited.
LUCK-MAR	Lucky Cement Limited.
LUCK-MAY	Lucky Cement Limited.
LUCK-OCT	Lucky Cement Limited.
MCB-APR	MCB Bank Limited.
MCB-APRB	MCB Bank Limited.
MCB-JUN	MCB Bank Limited.
MCB-MAR	MCB Bank Limited.
MCB-MARB	MCB Bank Limited.
MCB-MAY	MCB Bank Limited.
MCB-OCT	MCB Bank Limited.
MCB-OCTB	MCB Bank Limited.
MCBCMO	MCB Cash Managment Optimizer Fund
MCFO	Meezan Cash Fund
MDTL-APR	Media Times Limited.
MDTL-MAR	Media Times Limited.
MDTL-OCT	Media Times Limited.
MEBL-APR	Meezan Bank Limited.
MEBL-APRB	Meezan Bank Limited.
MEBL-JUN	Meezan Bank Limited.
MEBL-MAR	Meezan Bank Limited.
MEBL-MARB	Meezan Bank Limited.
MEBL-MAY	Meezan Bank Limited.
MEBL-OCT	Meezan Bank Limited.
MEBL-OCTB	Meezan Bank Limited.
MEBL-OCTC	Meezan Bank Limited.
MLCF-APR	Maple Leaf Cement Factory Ltd.
MLCF-JUN	Maple Leaf Cement Factory Ltd.
MLCF-MAR	Maple Leaf Cement Factory Ltd.
MLCF-MAY	Maple Leaf Cement Factory Ltd.
MLCF-OCT	Maple Leaf Cement Factory Ltd.
MTL-APR	Millat Tractors Limited.
MTL-APRB	Millat Tractors Limited.
MTL-JUN	Millat Tractors Limited.
MTL-MAR	Millat Tractors Limited.
MTL-MARB	Millat Tractors Limited.
MTL-MAY	Millat Tractors Limited.
MUGHAL-APR	Mughal Iron & Steels Ind Ltd.
MUGHAL-APRB	Mughal Iron & Steels Ind Ltd.
MUGHAL-JUN	Mughal Iron & Steels Ind Ltd.
MUGHAL-MAR	Mughal Iron & Steels Ind Ltd.
MUGHAL-MARB	Mughal Iron & Steels Ind Ltd.
MUGHAL-MAY	Mughal Iron & Steels Ind Ltd.
MUGHAL-OCT	Mughal Iron & Steels Ind Ltd.
MUGHAL-OCTB	Mughal Iron & Steels Ind Ltd.
MZNPETF-APR	Meezan Pakistan ETF
MZNPETF-JUN	Meezan Pakistan ETF
MZNPETF-MAR	Meezan Pakistan ETF
MZNPETF-MAY	Meezan Pakistan ETF
NAFAGSLFO	NAFA Government Securities Liquid Fund
NAFAMMFO	NAFA Money Market
NBP-APR	National Bank Of Pakistan.
NBP-APRB	National Bank Of Pakistan.
